experiment_id,rmse,rmse_ci_lo,rmse_ci_hi,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_r,spearman_ci_lo,spearman_ci_hi,n_bootstrap,n_test
bica_chemberta_77M_esm2_8M_320,1.1932,1.1602,1.2233,0.6529,0.6326,0.673,0.5907,0.5688,0.6136,1000,4715
gat_mol_graph_esm2_650M,1.1939,1.1616,1.224,0.6434,0.6219,0.6644,0.584,0.5602,0.6059,1000,4715
mlp_deep_ecfp6_kmer3__seed123,1.194,1.1657,1.2215,0.6263,0.6049,0.6479,0.5677,0.5449,0.5902,1000,4925
lstm_smiles_bpe512_protein_bpe512,1.1947,1.164,1.2216,0.646,0.6262,0.6665,0.573,0.5513,0.5955,1000,4715
gat_ecfp_esm2_8M_ranked,1.1963,1.166,1.2257,0.6434,0.6221,0.6636,0.583,0.5599,0.6049,1000,4715
transformer_chemberta_100M_esm2_150M,1.197,1.1675,1.2251,0.6278,0.606,0.6496,0.55,0.5267,0.5738,1000,4715
transformer_chemberta_600_prot_electra_256,1.1976,1.1692,1.2259,0.635,0.6125,0.6567,0.5595,0.537,0.5838,1000,4715
transformer_chemberta_77M_esm2_8M_320,1.1979,1.1684,1.223,0.6365,0.6174,0.6565,0.5466,0.5239,0.5706,1000,4715
transformer_ecfp6_1024_prot_electra_256,1.198,1.1697,1.2226,0.6332,0.6141,0.6535,0.5483,0.5267,0.5714,1000,4715
transformer_chemberta_5M_prot_electra_256,1.202,1.1751,1.2274,0.6412,0.6213,0.661,0.5627,0.5403,0.5856,1000,4715
gcn_mol_graph_esm2_35M_480,1.2024,1.1726,1.2279,0.6156,0.5942,0.6368,0.5504,0.528,0.574,1000,4715
transformer_chemberta_600_esm2_150M,1.2029,1.1726,1.2287,0.6346,0.6125,0.6555,0.5636,0.54,0.588,1000,4715
mlp_chemberta_aac,1.2032,1.171,1.2332,0.6286,0.6075,0.6499,0.5666,0.5458,0.5924,1000,4715
bica_chemberta_100M_esm2_35M_480,1.2033,1.1745,1.2305,0.6281,0.606,0.6487,0.5451,0.5208,0.5703,1000,4715
mlp_ecfp6_1024_prot_electra_256,1.2036,1.1728,1.2319,0.6552,0.6353,0.6749,0.5842,0.5616,0.6076,1000,4715
bica_chemberta_77M_esm2_150M,1.204,1.1725,1.2325,0.6264,0.6037,0.6485,0.5579,0.5339,0.5812,1000,4715
gcn_mol_graph_esmc_300M,1.2073,1.1741,1.2352,0.6276,0.6063,0.649,0.5652,0.5417,0.5871,1000,4715
gcn_mol_graph_esm2_150M,1.2086,1.1699,1.2415,0.634,0.6118,0.6566,0.592,0.5694,0.6139,1000,4715
gat_mol_graph_esmc_300M,1.2088,1.1785,1.2379,0.6326,0.6117,0.6526,0.5705,0.5483,0.594,1000,4715
transformer_ecfp4_aac,1.2095,1.1816,1.2355,0.6062,0.5848,0.6259,0.55,0.5281,0.5721,1000,4715
transformer_seq_smiles_atom_protein_char,1.2096,1.1836,1.2337,0.6061,0.5847,0.6248,0.5138,0.4897,0.5368,1000,4715
transformer_chemberta_600_esm2_8M_320,1.2099,1.1796,1.2408,0.6614,0.6415,0.6807,0.5781,0.5555,0.6015,1000,4715
transformer_seq_smiles_char_protein_bpe_1000,1.2108,1.1813,1.2372,0.605,0.5828,0.6254,0.524,0.5008,0.5491,1000,4715
bica_chemberta_prot_electra_dsm,1.2115,1.181,1.2423,0.6277,0.605,0.6488,0.5528,0.5289,0.5771,1000,4715
transformer_chemberta_5M_esm2_35M_480,1.2127,1.1833,1.2404,0.64,0.6191,0.6606,0.581,0.5607,0.604,1000,4715
mlp_ecfp4_esm2_8M__seed123,1.2141,1.1862,1.2437,0.6097,0.5868,0.6305,0.5505,0.5276,0.572,1000,4925
gcn_mol_graph_kmer3_8000,1.2141,1.1834,1.2409,0.6201,0.5989,0.6418,0.5558,0.5325,0.5789,1000,4715
bica_ecfp6_1024_kmer3_8000,1.2144,1.1839,1.2451,0.6334,0.6115,0.6536,0.5706,0.5476,0.5924,1000,4715
gat_mol_graph_esm2_35M_480,1.2148,1.1803,1.2478,0.6349,0.6134,0.6571,0.5841,0.5619,0.607,1000,4715
transformer_ecfp6_1024_kmer3_8000,1.2153,1.1847,1.243,0.6366,0.6159,0.656,0.5616,0.5377,0.5849,1000,4715
gcn_mol_graph_esm2_8M_320,1.2156,1.1808,1.2479,0.636,0.6136,0.6567,0.5908,0.5684,0.6126,1000,4715
gcn_ecfp_esm2_8M,1.2158,1.1803,1.2503,0.64,0.618,0.6613,0.5964,0.5722,0.6185,1000,4715
gat_mol_graph_kmer3_8000,1.2161,1.1841,1.2464,0.6407,0.6196,0.661,0.5842,0.561,0.6065,1000,4715
mlp_smiles_char_kmer3_8000,1.217,1.1886,1.2432,0.611,0.5903,0.6328,0.5143,0.4921,0.5398,1000,4715
gcn_ecfp_esm2_8M_recon,1.2187,1.1868,1.2484,0.6132,0.5916,0.6348,0.561,0.5372,0.584,1000,4715
mlp_ecfp6_1024_protein_char,1.2192,1.1916,1.2433,0.6263,0.607,0.6469,0.5501,0.5266,0.5736,1000,4715
transformer_seq_smiles_char_protein_char,1.2215,1.1926,1.2455,0.5985,0.5778,0.6209,0.5097,0.4863,0.5353,1000,4715
transformer_chemberta_77M_esm2_35M_480,1.2216,1.1905,1.2511,0.6275,0.6044,0.6489,0.56,0.5364,0.5827,1000,4715
lstm_smiles_bpe1000_protein_bpe1000,1.2227,1.1935,1.2497,0.6321,0.6129,0.6515,0.588,0.5677,0.6089,1000,4715
bica_chemberta_100M_esmc_300M,1.2243,1.195,1.2524,0.6223,0.6015,0.6437,0.5474,0.5242,0.5709,1000,4715
transformer_seq_smiles_atom_protein_bpe_1000,1.2247,1.1947,1.2521,0.6161,0.5956,0.6373,0.5188,0.4946,0.5435,1000,4715
transformer_chemberta_5M_esm2_8M_320,1.2255,1.1954,1.2529,0.6171,0.5962,0.6395,0.5439,0.5232,0.5678,1000,4715
gcn_mol_graph_prot_electra_256,1.2255,1.1934,1.2541,0.6149,0.592,0.637,0.5608,0.5372,0.5831,1000,4715
bica_chemberta_5M_esm2_35M_480,1.2271,1.1958,1.2563,0.5991,0.5752,0.6233,0.5504,0.5264,0.5752,1000,4715
gat_mol_graph_prot_electra_256,1.2274,1.1955,1.2579,0.6224,0.601,0.6441,0.5582,0.5348,0.5821,1000,4715
mamba_smiles_atom_protein_bpe_1000,1.2279,1.2009,1.2533,0.5837,0.5623,0.6052,0.5106,0.487,0.5347,1000,4715
transformer_seq_smiles_bpe512_protein_bpe512,1.2282,1.1993,1.2539,0.5861,0.5618,0.6082,0.5342,0.5091,0.5579,1000,4715
gat_mol_graph_esm2_150M,1.2285,1.1939,1.2611,0.6233,0.6009,0.6451,0.5664,0.5437,0.591,1000,4715
bica_chemberta_77M_prot_electra_256,1.2297,1.2015,1.258,0.5852,0.5612,0.6079,0.5032,0.4783,0.5273,1000,4715
transformer_smiles_char_prot_electra_256,1.2299,1.1992,1.2555,0.5876,0.5625,0.6095,0.5093,0.4829,0.5339,1000,4715
gcn_mol_graph_esm2_650M,1.2329,1.1992,1.261,0.6006,0.5784,0.6239,0.5583,0.5341,0.5813,1000,4715
bica_smiles_char_kmer3_8000,1.2339,1.2063,1.2596,0.5841,0.5616,0.6062,0.5056,0.4821,0.5311,1000,4715
mamba_smiles_bpe512_protein_bpe512,1.234,1.2014,1.263,0.6303,0.6099,0.6508,0.5746,0.553,0.5964,1000,4715
transformer_chemberta_600_esmc_300M,1.2352,1.2074,1.26,0.5875,0.5657,0.6096,0.5163,0.4927,0.5402,1000,4715
transformer_smiles_char_kmer3_8000,1.241,1.2115,1.2689,0.5871,0.563,0.6089,0.4996,0.4753,0.5238,1000,4715
bica_chemberta_77M_esmc_300M,1.2441,1.213,1.273,0.5973,0.5735,0.6212,0.5201,0.4956,0.5447,1000,4715
lstm_smiles_char_protein_char,1.2462,1.2168,1.2717,0.6257,0.6045,0.6467,0.5372,0.5135,0.5619,1000,4715
bica_chemberta_77M_esm2_35M_480,1.2485,1.2167,1.2775,0.599,0.5756,0.6219,0.5377,0.5146,0.5627,1000,4715
transformer_chemberta_600_protein_char,1.2487,1.222,1.2742,0.5654,0.5415,0.589,0.4808,0.4556,0.5064,1000,4715
bica_chemberta_100M_esm2_8M_320,1.2491,1.2219,1.2745,0.5662,0.5448,0.5869,0.4854,0.4636,0.5098,1000,4715
lstm_smiles_bpe_1000_protein_char,1.2524,1.222,1.2791,0.5902,0.569,0.6117,0.5215,0.4984,0.5459,1000,4715
ridge_chemberta_5M_esm2_35M_480,1.2544,1.2217,1.284,0.5951,0.5726,0.6181,0.5255,0.5012,0.5497,1000,4715
ridge_chemberta_5M_esm2_150M,1.2545,1.2215,1.2847,0.5978,0.5744,0.6209,0.5225,0.4983,0.5467,1000,4715
gat_ecfp_esm2_8M,1.2551,1.222,1.2871,0.5978,0.5745,0.6198,0.5623,0.5387,0.5847,1000,4715
bica_chemberta_600_protein_char,1.2558,1.2264,1.2847,0.5788,0.556,0.6014,0.5084,0.4851,0.5331,1000,4715
gat_ecfp_esm2_8M_recon,1.2563,1.2216,1.2866,0.6148,0.5929,0.637,0.566,0.5426,0.5898,1000,4715
mlp_chemberta_600_protein_char,1.2599,1.2281,1.2864,0.5774,0.5545,0.6002,0.4938,0.4685,0.5192,1000,4715
lstm_smiles_atom_protein_wordpiece512,1.2608,1.2333,1.2863,0.5726,0.55,0.5956,0.4523,0.4269,0.477,1000,4715
ridge_chemberta_5M_esm2_8M_320,1.2673,1.2386,1.2944,0.5802,0.5579,0.6023,0.507,0.4829,0.5323,1000,4715
gat_mol_graph_esm2_8M_320,1.268,1.2332,1.2989,0.5969,0.5749,0.6194,0.5466,0.5215,0.5699,1000,4715
bica_chemberta_100M_prot_electra_256,1.271,1.2408,1.2995,0.6081,0.5867,0.6293,0.5319,0.5082,0.5562,1000,4715
bica_ecfp6_1024_prot_electra_256,1.2774,1.2455,1.3064,0.5859,0.5631,0.6071,0.5442,0.5215,0.5669,1000,4715
transformer_ecfp6_1024_protein_char,1.2806,1.2512,1.3091,0.5624,0.54,0.5838,0.5085,0.4841,0.532,1000,4715
ridge_rdkit_aac,1.2919,1.2649,1.3201,0.522,0.4982,0.5439,0.453,0.4272,0.4764,1000,4715
bica_ecfp6_1024_protein_char,1.2942,1.2632,1.3228,0.5592,0.5356,0.5819,0.5143,0.4913,0.5379,1000,4715
mlp_smiles_char_prot_electra_256,1.2957,1.2665,1.3226,0.5449,0.5215,0.5678,0.4741,0.4495,0.5004,1000,4715
ridge_chemberta_5M_esm2_650M,1.3004,1.2598,1.337,0.5832,0.558,0.6092,0.52,0.4962,0.5453,1000,4715
distmat_cnn_aac,1.303,1.2723,1.3302,0.5112,0.4876,0.5352,0.4726,0.4487,0.4975,1000,4715
ridge_maccs_aac,1.3079,1.2779,1.3354,0.5025,0.4789,0.5256,0.4494,0.423,0.4742,1000,4715
bica_ecfp4_aac,1.3081,1.2771,1.3395,0.5587,0.5354,0.5821,0.4896,0.4651,0.5151,1000,4715
bica_ecfp4_aac__seed123,1.3109,1.2813,1.3388,0.5089,0.4829,0.5329,0.4638,0.4402,0.4883,1000,4925
ridge_chemberta_77M_esm2_150M,1.3173,1.2817,1.3488,0.5507,0.5266,0.5755,0.4674,0.4419,0.4933,1000,4715
ridge_chemberta_5M_esmc_300M,1.3217,1.2801,1.3603,0.5581,0.5303,0.586,0.503,0.4772,0.5293,1000,4715
cnn_smiles_onehot_esm2_150M,1.3243,1.2935,1.3538,0.5213,0.4984,0.5452,0.4302,0.4043,0.4576,1000,4715
ridge_chemberta_77M_esm2_8M_320,1.3248,1.292,1.3529,0.5336,0.5092,0.5598,0.4481,0.4228,0.4751,1000,4715
mlp_shallow_ecfp4_aac,1.3285,1.298,1.3602,0.588,0.5659,0.6079,0.5301,0.5067,0.5538,1000,4715
cnn_smiles_onehot_esm2_8M_320,1.3286,1.2972,1.3573,0.5162,0.4935,0.5413,0.4328,0.4081,0.4599,1000,4715
bica_smiles_char_prot_electra_256,1.3288,1.2994,1.3593,0.5398,0.5139,0.5623,0.4647,0.4387,0.4898,1000,4715
cnn_smiles_onehot_esmc_300M,1.3329,1.3029,1.3622,0.524,0.5014,0.5476,0.4183,0.3924,0.4466,1000,4715
ridge_maccs_aac__seed456,1.3356,1.3114,1.3627,0.3932,0.3665,0.4193,0.3,0.2723,0.326,1000,4837
transformer_seq_smiles_atom_protein_wordpiece512,1.336,1.3081,1.3622,0.4881,0.461,0.5142,0.3535,0.3253,0.3811,1000,4715
ridge_chemberta_77M_esm2_35M_480,1.3368,1.3036,1.3671,0.5374,0.5133,0.5624,0.4534,0.4283,0.4807,1000,4715
bica_smiles_char_protein_char,1.337,1.3057,1.3653,0.478,0.4517,0.5037,0.3874,0.3598,0.4142,1000,4715
distmat_cnn_protein_char,1.3434,1.3167,1.3701,0.4857,0.4617,0.5077,0.4228,0.3972,0.4477,1000,4715
transformer_smiles_char_protein_char,1.345,1.3141,1.3728,0.4724,0.4448,0.4988,0.4059,0.3797,0.4319,1000,4715
ridge_chemberta_77M_esm2_650M,1.346,1.3046,1.3851,0.5441,0.5189,0.5713,0.4745,0.4494,0.5022,1000,4715
ridge_maccs_aac__seed123,1.3462,1.3177,1.3734,0.3951,0.3694,0.4201,0.3638,0.3385,0.3901,1000,4925
gcn_ecfp_aac,1.3472,1.3131,1.3777,0.5171,0.4935,0.5401,0.4694,0.4426,0.4953,1000,4715
ridge_chemberta_5M_prot_electra_256,1.3504,1.2954,1.4043,0.5484,0.518,0.5804,0.5021,0.4783,0.528,1000,4715
cnn_smiles_onehot_protein_char,1.3524,1.3155,1.3859,0.5119,0.4864,0.5373,0.4501,0.4233,0.4767,1000,4715
gat_ecfp_aac,1.3525,1.321,1.3816,0.5089,0.4864,0.5314,0.4499,0.4258,0.4767,1000,4715
cnn_smiles_onehot_kmer3_8000,1.3561,1.323,1.3871,0.506,0.4814,0.532,0.4302,0.4039,0.4563,1000,4715
gat_mol_graph_protein_char,1.3572,1.3218,1.3886,0.5162,0.4941,0.5391,0.4794,0.4561,0.5063,1000,4715
ridge_rdkit_aac__seed456,1.367,1.3038,1.4703,0.3795,0.3157,0.4342,0.334,0.3049,0.3614,1000,4837
cnn_smiles_onehot_prot_electra_256,1.368,1.3381,1.397,0.4855,0.4621,0.5109,0.4027,0.3763,0.4298,1000,4715
transformer_seq_smiles_bpe_1000_protein_bpe_1000,1.3698,1.3364,1.4021,0.5448,0.5215,0.5675,0.5124,0.4894,0.5351,1000,4715
transformer_seq_smiles_bpe_1000_protein_char,1.373,1.3406,1.4004,0.5421,0.5205,0.5649,0.4843,0.461,0.5077,1000,4715
cnn_smiles_onehot_esm2_650M,1.3769,1.344,1.4082,0.4916,0.4687,0.5146,0.4188,0.3948,0.445,1000,4715
ridge_chemberta_77M_prot_electra_256,1.3785,1.3269,1.4267,0.5189,0.4886,0.5511,0.4615,0.4368,0.4898,1000,4715
cnn_smiles_onehot_aac,1.3787,1.3444,1.4107,0.5005,0.4758,0.5243,0.4371,0.4102,0.464,1000,4715
ridge_chemberta_77M_esmc_300M,1.3871,1.3453,1.4292,0.5091,0.4788,0.5403,0.4546,0.4298,0.4825,1000,4715
gcn_mol_graph_protein_char,1.3877,1.3505,1.4196,0.5025,0.4779,0.5271,0.4456,0.4204,0.4712,1000,4715
ridge_chemberta_600_esm2_35M_480,1.388,1.3553,1.4198,0.5539,0.53,0.5758,0.4919,0.4672,0.5163,1000,4715
cnn_smiles_onehot_esm2_35M_480,1.3893,1.3555,1.4182,0.4968,0.4736,0.521,0.4124,0.3861,0.4394,1000,4715
ridge_rdkit_aac__seed123,1.3904,1.3633,1.4205,0.3641,0.3366,0.3898,0.307,0.2808,0.3328,1000,4925
ridge_chemberta_600_esm2_150M,1.3948,1.3607,1.4263,0.5546,0.532,0.5773,0.4908,0.4664,0.5156,1000,4715
ridge_chemberta_600_kmer3_8000,1.3953,1.3621,1.428,0.5599,0.536,0.5824,0.4971,0.4734,0.5233,1000,4715
ridge_chemberta_100M_esm2_150M,1.4138,1.3804,1.4456,0.5296,0.505,0.552,0.4448,0.4183,0.4715,1000,4715
ridge_chemberta_100M_esm2_35M_480,1.4187,1.3848,1.4494,0.5187,0.4946,0.5421,0.4351,0.4088,0.4622,1000,4715
ridge_chemberta_600_esm2_650M,1.4206,1.3804,1.4574,0.5556,0.5323,0.5795,0.5005,0.4761,0.5253,1000,4715
ridge_chemberta_100M_esm2_8M_320,1.4217,1.3913,1.4496,0.5028,0.4791,0.5277,0.4222,0.3971,0.4489,1000,4715
ridge_ecfp4_dipeptide,1.4227,1.393,1.4523,0.5243,0.501,0.5469,0.4634,0.4399,0.4867,1000,4715
mlp_smiles_char_protein_char,1.4272,1.3937,1.4583,0.4681,0.4419,0.4935,0.3988,0.3727,0.4241,1000,4715
ridge_chemberta_600_esm2_8M_320,1.4336,1.3988,1.467,0.5202,0.4962,0.5443,0.4704,0.4464,0.4941,1000,4715
ridge_chemberta_100M_prot_electra_256,1.4448,1.4005,1.4936,0.5152,0.4875,0.5419,0.4389,0.4115,0.4647,1000,4715
ridge_chemberta_600_prot_electra_256,1.4497,1.4006,1.4948,0.5308,0.5028,0.5582,0.4838,0.4606,0.5096,1000,4715
ridge_chemberta_100M_esmc_300M,1.4509,1.4116,1.4889,0.5079,0.4817,0.5348,0.4309,0.405,0.4575,1000,4715
ridge_chemberta_600_protein_char,1.4536,1.4188,1.4878,0.4737,0.4495,0.4988,0.4304,0.4059,0.4558,1000,4715
ridge_ecfp6_1024_prot_electra_256,1.4669,1.4276,1.5031,0.4999,0.4743,0.5265,0.4388,0.4129,0.4669,1000,4715
ridge_chemberta_100M_esm2_650M,1.4699,1.4237,1.5116,0.5181,0.4935,0.5436,0.4434,0.4157,0.4702,1000,4715
mlp_shallow_ecfp4_aac__seed456,1.4882,1.457,1.5197,0.4499,0.4254,0.4771,0.4065,0.3813,0.4337,1000,4837
ridge_ecfp6_1024_kmer3_8000,1.4886,1.4531,1.5217,0.4929,0.4673,0.5181,0.4311,0.4046,0.4594,1000,4715
ridge_ecfp4_aac__seed456,1.5051,1.4753,1.532,0.413,0.3875,0.438,0.3467,0.3208,0.3744,1000,4837
mlp_shallow_ecfp4_aac__seed123,1.5131,1.4831,1.5446,0.4519,0.4258,0.4761,0.4027,0.3764,0.4285,1000,4925
xgb_ecfp4_aac__leakypdb,1.5199,1.4898,1.5518,0.5094,0.4882,0.5291,0.4898,0.4661,0.5112,1000,4838
lgbm_ecfp4_aac__leakypdb,1.5247,1.493,1.556,0.5091,0.4877,0.5287,0.4839,0.4612,0.5061,1000,4838
transformer_seq_smiles_bpe1000_protein_bpe1000,1.5254,1.4886,1.5591,0.5091,0.4874,0.5296,0.5009,0.4784,0.5216,1000,4715
xgb_chemberta_esm2_8M__leakypdb,1.5287,1.4958,1.5605,0.5084,0.4859,0.5287,0.478,0.4532,0.5002,1000,4838
xgb_ecfp4_esm2_8M__leakypdb,1.5421,1.5118,1.5728,0.4946,0.4714,0.5152,0.476,0.4505,0.498,1000,4838
xgb_chemberta_aac__leakypdb,1.5488,1.5153,1.5848,0.4972,0.4739,0.5191,0.4717,0.4475,0.4941,1000,4838
ridge_ecfp4_aac,1.5498,1.5182,1.5812,0.4339,0.4078,0.4582,0.3907,0.3641,0.4152,1000,4715
mlp_chemberta_esm2_8M__leakypdb,1.5563,1.5245,1.5879,0.5045,0.4819,0.525,0.4793,0.456,0.5018,1000,4838
rf_ecfp4_aac__leakypdb,1.5585,1.5259,1.5895,0.4895,0.467,0.5095,0.4624,0.4377,0.4842,1000,4838
ridge_ecfp6_1024_protein_char,1.5608,1.5314,1.5935,0.4099,0.3834,0.4357,0.3671,0.3391,0.3952,1000,4715
bica_chemberta_prot_electra__leakypdb,1.5825,1.5511,1.6175,0.5236,0.5024,0.5439,0.4965,0.4739,0.5182,1000,4838
gat_ecfp_esm2_8M__leakypdb,1.5839,1.5506,1.6149,0.4544,0.4318,0.4762,0.4331,0.4098,0.4553,1000,4838
bica_chemberta_esm2_8M__leakypdb,1.5955,1.5621,1.6277,0.4464,0.4237,0.4691,0.4252,0.4007,0.4495,1000,4838
gcn_ecfp_esm2_8M__leakypdb,1.5969,1.5643,1.6285,0.4299,0.4064,0.4538,0.4184,0.3935,0.442,1000,4838
mlp_ecfp4_prot_electra__leakypdb,1.612,1.5792,1.6459,0.4829,0.4609,0.5025,0.4754,0.4527,0.4971,1000,4838
ridge_ecfp4_aac__seed123,1.6137,1.5805,1.6483,0.3177,0.2889,0.3459,0.2842,0.2563,0.3111,1000,4925
mlp_chemberta_prot_electra__leakypdb,1.6361,1.6011,1.6713,0.4679,0.4442,0.4888,0.4396,0.4148,0.4619,1000,4838
mlp_ecfp4_esm2_8M__leakypdb,1.645,1.609,1.6801,0.4681,0.4444,0.4916,0.4412,0.417,0.4643,1000,4838
ridge_ecfp4_aac__leakypdb,1.6862,1.6516,1.7194,0.4161,0.3936,0.4385,0.4086,0.3844,0.4316,1000,4838
ridge_smiles_char_kmer3_8000,2.167,2.06,2.2895,0.3431,0.3092,0.3765,0.3562,0.3294,0.3822,1000,4715
ridge_smiles_char_prot_electra_256,2.1715,2.06,2.2962,0.3459,0.3132,0.3776,0.3689,0.3433,0.3938,1000,4715
ridge_smiles_char_protein_char,2.4017,2.3041,2.5144,0.2396,0.2077,0.2672,0.2673,0.2393,0.2929,1000,4715
mlp_chemberta_esm2_8M_dsm,6.8504,6.807,6.893,0.135,0.101,0.1681,0.1046,0.0753,0.1338,1000,4715
